#,Players,Team,MIN,PTS,FG,2PT FG,3PT FG,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
2,Yuki Togashi,Japan,05:08,3,1,0,1,0,1,0,1,2,1,1,0,0,-3,3
4,Akira Jacobs,Japan,04:13,2,1,1,0,0,0,0,0,0,0,0,0,0,-13,0
5,Yuki Kawamura,Japan,30:20,21,7,3,4,3,0,2,2,10,3,2,1,1,-6,21
6,Makoto Hiejima,Japan,17:25,0,0,0,0,0,1,3,4,2,2,1,0,0,-8,1
7,Kai Toews,Japan,05:30,0,0,0,0,0,0,1,1,0,0,1,0,0,-11,-2
8,Rui Hachimura,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Yuta Watanabe,Japan,35:47,14,6,4,2,0,3,6,9,0,0,0,0,3,-5,14
18,Yudai Baba,Japan,22:40,11,4,1,3,0,0,0,0,1,3,1,1,0,2,9
24,Josh Hawkinson,Japan,35:52,26,8,3,5,5,3,7,10,2,4,2,0,2,-7,32
30,Keisei Tominaga,Japan,06:59,2,1,1,0,0,0,0,0,0,0,0,1,0,-15,-1
34,Hugh Watanabe,Japan,04:08,0,0,0,0,0,1,0,1,1,0,0,0,0,-11,2
91,Hirotaka Yoshii,Japan,31:58,5,2,1,1,0,2,0,2,1,3,1,1,0,-13,7
2,Yago Santos,Brazil,16:43,7,2,1,1,2,0,4,4,4,2,1,0,0,-10,8
6,Cristiano Felicio,Brazil,03:42,0,0,0,0,0,1,2,3,0,1,0,0,0,2,3
7,Didi Louzada,Brazil,06:06,2,1,1,0,0,0,1,1,0,0,0,0,0,6,2
8,Vitor Benite,Brazil,20:17,19,6,1,5,2,0,0,0,0,3,2,0,0,-8,15
9,Marcelinho Huertas,Brazil,22:54,13,6,5,1,0,0,1,1,8,2,3,0,1,25,16
11,Gui Santos,Brazil,34:17,5,2,1,1,0,2,2,4,2,2,2,1,1,15,8
14,Leo Meindl,Brazil,21:50,9,3,0,3,0,0,8,8,1,2,1,1,0,27,11
23,Raul Neto,Brazil,20:42,8,3,3,0,2,1,2,3,5,0,0,0,1,11,14
32,Georginho De Paula,Brazil,17:11,3,1,0,1,0,0,1,1,3,1,1,2,1,6,8
45,Joao Cardoso,Brazil,00:28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
51,Bruno Caboclo,Brazil,29:49,33,13,9,4,3,9,8,17,1,3,2,0,1,18,43
99,Lucas Dias,Brazil,06:01,3,1,0,1,0,1,0,1,0,0,0,0,0,-5,2
